ID,N.event,Event.date,Region,Province,Municipality,River,Age class,Gender,MorphologicalZone,Corine class,Place,Distance,Density,CodScen,Solid,ReturnPeriod
2427,201633,04/11/1994,Piemonte,Cuneo,Piozzo,Tanaro,15-29,Male,Mountain,51,Bridge,0.0,0.014,outside,Yes,(100-200)
2430,201633,04/11/1994,Piemonte,Cuneo,Piozzo,Tanaro,15-29,Male,Mountain,51,Bridge,0.0,0.014,outside,Yes,(100-200)
2428,201633,04/11/1994,Piemonte,Cuneo,Piozzo,Tanaro,30-49,Male,Mountain,51,Bridge,0.0,0.014,outside,Yes,(100-200)
2429,201633,04/11/1994,Piemonte,Cuneo,Piozzo,Tanaro,30-49,Male,Mountain,51,Bridge,0.0,0.014,outside,Yes,(100-200)
2431,201633,04/11/1994,Piemonte,Cuneo,Piozzo,Tanaro,30-49,Male,Mountain,51,Bridge,0.0,0.014,outside,Yes,(100-200)
4153,203686,21/10/2019,Piemonte,Alessandria,Capriata dOrba,Orba,50-64,Male,Mountain,21,Outdoor,31.3,0.014,L,na,(2-5)
3872,201727,08/10/1996,Piemonte,Cuneo,Roccavione,Vermenagna,30-49,Male,Mountain,11,Outdoor,194.0,0.013,outside,Yes,(100-200)
3886,201566,08/10/1993,Piemonte,Alessandria,Stazzano,Tributary of Scrivia,15-29,Male,Mountain,24,Outdoor,0.0,0.011,H,Yes,<2
2424,201589,04/11/1994,Piemonte,Cuneo,Clavesana,Tanaro,<=14,Male,Mountain,51,Bridge,0.0,0.01,H,Yes,(100-200)
2425,201589,04/11/1994,Piemonte,Cuneo,Clavesana,Tanaro,30-49,Male,Mountain,51,Bridge,0.0,0.01,H,Yes,(100-200)
2423,201589,04/11/1994,Piemonte,Cuneo,Clavesana,Tanaro,50-64,Male,Mountain,51,Bridge,0.0,0.01,H,Yes,(100-200)
2426,201589,04/11/1994,Piemonte,Cuneo,Clavesana,Tanaro,65-74,Male,Mountain,51,Bridge,0.0,0.01,H,Yes,(100-200)
3036,203313,14/10/2000,Valle dAosta,Aosta,Antey-Saint-Andre,Marmore,65-74,Male,Mountain,31,Outdoor,79.0,0.01,outside,Yes,(100-200)
3166,203314,14/10/2000,Piemonte,Torino,Perosa Argentina,Tributary of Chisone,50-64,Male,Mountain,31,Outdoor,58.3,0.01,H,Yes,>200
4067,203567,24/11/2016,Piemonte,Torino,Perosa Argentina,Rio Albona,65-74,Male,Mountain,24,Outdoor,362.0,0.01,L,Yes,>200
2407,201599,04/11/1994,Piemonte,Cuneo,Bastia Mondovi,Tanaro,50-64,Male,Mountain,24,Outdoor,46.5,0.009,H,Yes,(100-200)
4099,203610,14/10/1979,Piemonte,Verbano-Cusio-Ossola,Masera,Melezzo occidentale,15-29,Male,Mountain,31,Outdoor,0.0,0.009,outside,Yes,(20-50)
4100,203610,14/10/1979,Piemonte,Verbano-Cusio-Ossola,Masera,Melezzo occidentale,15-29,Female,Mountain,31,Outdoor,0.0,0.009,outside,Yes,(20-50)
4098,203610,14/10/1979,Piemonte,Verbano-Cusio-Ossola,Masera,Melezzo occidentale,50-64,Male,Mountain,31,Outdoor,0.0,0.009,outside,Yes,(20-50)
2286,201424,18/07/1987,Lombardia,Bergamo,Lenna,Brembo,30-49,Male,Mountain,11,Building,35.0,0.008,L,Yes,>200
4092,201352,11/09/1983,Piemonte,Verbano-Cusio-Ossola,Cannobio,Cannobino,50-64,Female,Mountain,31,Campsite,18.3,0.008,H,na,(20-50)
4091,201352,11/09/1983,Piemonte,Verbano-Cusio-Ossola,Cannobio,Cannobino,50-64,Male,Mountain,31,Campsite,18.3,0.008,H,na,(20-50)
3438,201708,08/07/1996,Piemonte,Verbano-Cusio-Ossola,Cannobio,Cannobino,30-49,Male,Mountain,31,River,95.0,0.008,outside,Yes,(50-100)
4155,203711,24/11/2019,Piemonte,Alessandria,Sezzadio,Bormida,50-64,Female,Mountain,51,Outdoor,5.9,0.007,H,na,(10-20)
3785,201281,07/10/1977,Liguria,Genova,Campo Ligure,Angassino,65-74,Female,Mountain,31,Building,129.0,0.007,outside,Yes,>200
3784,201281,07/10/1977,Liguria,Genova,Campo Ligure,Angassino,65-74,Female,Mountain,31,Building,129.0,0.007,outside,Yes,>200
3034,201870,14/10/2000,Valle dAosta,Aosta,Donnas,Dora Baltea,50-64,Male,Mountain,22,Outdoor,164.3,0.007,outside,Yes,(100-200)
3048,201912,15/07/2002,Piemonte,Cuneo,Chiusa di Pesio,Pesio ,>=75,Male,Mountain,24,Outdoor,27.5,0.006,H,No,(50-100)
3611,201560,25/09/1993,Valle dAosta,Aosta,Chambave,Dora Baltea,30-49,Female,Mountain,24,Outdoor,149.5,0.005,outside,na,5
3610,201560,25/09/1993,Valle dAosta,Aosta,Chambave,Dora Baltea,30-49,Male,Mountain,24,Outdoor,149.5,0.005,outside,na,5
2288,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,15-29,Female,Plain,31,Outdoor,10.5,0.005,outside,Yes,>200
3217,201305,07/08/1978,Piemonte,Verbano-Cusio-Ossola,Toceno,Tributary of Melezzo orientale,30-49,Female,Mountain,11,Building,430.0,0.004,outside,Yes,(10-20)
3219,201305,07/08/1978,Piemonte,Verbano-Cusio-Ossola,Toceno,Tributary of Melezzo orientale,65-74,Female,Mountain,11,Building,430.0,0.004,outside,Yes,(10-20)
3218,201305,07/08/1978,Piemonte,Verbano-Cusio-Ossola,Toceno,Tributary of Melezzo orientale,>=75,Female,Mountain,11,Building,430.0,0.004,outside,Yes,(10-20)
4030,203538,14/09/2015,Emilia-Romagna,Piacenza,Bettola, Nure,30-49,Male,Mountain,33,Outdoor,41.0,0.004,H,na,>200
4029,203538,14/09/2015,Emilia-Romagna,Piacenza,Bettola, Nure,50-64,Male,Mountain,33,Outdoor,41.0,0.004,H,na,>200
4031,203538,14/09/2015,Emilia-Romagna,Piacenza,Bettola, Nure,65-74,Male,Mountain,33,Outdoor,41.0,0.004,H,na,>200
4026,203532,09/08/2015,Piemonte,Biella,Campiglia Cervo,Cervo,15-29,Male,Mountain,31,Campsite,0.0,0.004,H,na,<2
4094,201353,11/09/1983,Piemonte,Verbano-Cusio-Ossola,Malesco, Loana,50-64,Male,Mountain,33,Bridge,0.0,0.004,H,na,(20-50)
3880,202950,10/08/1994,Piemonte,Verbano-Cusio-Ossola,Cossogno,Rio Pogallo,50-64,Male,Mountain,33,River,0.0,0.002,outside,na,(20-50)
3855,201805,07/08/1999,Lombardia,Sondrio,Madesimo,Valle Febbraro,<=14,Female,Mountain,31,Campsite,95.0,0.002,outside,na,<2
NA,201805,07/08/1999,Lombardia,Sondrio,Madesimo,Valle Febbraro,<=14,Female,Plain,31,Campsite,95.0,0.002,outside,na,<2
3854,201805,07/08/1999,Lombardia,Sondrio,Madesimo,Valle Febbraro,<=14,Female,Plain,31,Campsite,95.0,0.002,outside,na,<2
2287,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,15-29,Male,Plain,31,Outdoor,1.5,0.002,H,Yes,>200
2289,201426,18/07/1987,Lombardia,Bergamo,Mezzoldo,Tributary of Brembo,15-29,Female,Plain,23,Outdoor,70.0,0.002,outside,Yes,>200
2290,201426,18/07/1987,Lombardia,Bergamo,Mezzoldo,Tributary of Brembo,15-29,Male,Plain,23,Outdoor,70.0,0.002,outside,Yes,>200
3035,201877,14/10/2000,Valle dAosta,Aosta,Aosta, Chalamy,>=75,Male,Mountain,24,Outdoor,182.0,0.002,outside,Yes,(100-200)
4093,201354,11/09/1983,Piemonte,Verbano-Cusio-Ossola,Craveggia,Rio di Re,30-49,Male,Mountain,11,River,0.0,0.001,outside,na,(20-50)
4095,203036,02/04/1981,Piemonte,Torino,Ronco Canavese,Soana,30-49,Female,Mountain,23,River,63.2,0.001,outside,na,(10-20)
3378,201233,17/08/1976,Marche,Pesaro e Urbino,Gabicce Mare,Tavollo,15-29,Female,Plain,11,Outdoor,14.0,0,L,na,(100-200)
3379,201233,17/08/1976,Marche,Pesaro e Urbino,Gabicce Mare,Tavollo,65-74,Female,Plain,11,Outdoor,14.0,0,L,na,(100-200)
